ObservationId,Timestamp UTC,LocalTimestamp,Temperature (C),Transmission,direction (radians CCW from East)
7369487,2017-04-10 02:40,2017-04-10 12:40,27.93,32066,-1.7114
7369486,2017-04-10 02:25,2017-04-10 12:25,27.93,32055,-2.0329
7369485,2017-04-10 02:10,2017-04-10 12:10,27.93,32043,-2.4408
7369484,2017-04-10 01:55,2017-04-10 11:55,27.93,32037,-3.1351
7369169,2017-04-10 01:40,2017-04-10 11:40,27.81,32043,2.8444
7369483,2017-04-10 01:40,2017-04-10 11:40,27.81,32043,2.4858
7369168,2017-04-10 01:25,2017-04-10 11:25,27.81,32047,2.473
7369167,2017-04-10 01:10,2017-04-10 11:10,27.68,32049,2.0089
7369166,2017-04-10 00:55,2017-04-10 10:55,27.68,32066,1.6892
7368851,2017-04-10 00:40,2017-04-10 10:40,27.68,32080,1.4531
7369165,2017-04-10 00:40,2017-04-10 10:40,27.68,32080,2.0893
7368850,2017-04-10 00:25,2017-04-10 10:25,27.56,32093,2.1416
7368849,2017-04-10 00:10,2017-04-10 10:10,27.56,32116,2.3811
7368848,2017-04-09 23:55,2017-04-10 09:55,27.56,32143,2.0148
7368533,2017-04-09 23:40,2017-04-10 09:40,27.56,32163,2.5259
7368847,2017-04-09 23:40,2017-04-10 09:40,27.56,32163,2.5247
7368532,2017-04-09 23:25,2017-04-10 09:25,27.56,32185,2.3446
7368531,2017-04-09 23:10,2017-04-10 09:10,27.43,32209,2.5748
7368530,2017-04-09 22:55,2017-04-10 08:55,27.43,32231,3.1105
7368215,2017-04-09 22:40,2017-04-10 08:40,27.43,32257,-1.7098
7368529,2017-04-09 22:40,2017-04-10 08:40,27.43,32257,-1.8984
7368214,2017-04-09 22:25,2017-04-10 08:25,27.43,32284,-2.5349
7368213,2017-04-09 22:10,2017-04-10 08:10,27.43,32308,-2.2126
7368212,2017-04-09 21:55,2017-04-10 07:55,27.43,32333,-1.3997
7367897,2017-04-09 21:40,2017-04-10 07:40,27.43,32362,-0.6524
7368211,2017-04-09 21:40,2017-04-10 07:40,27.43,32362,-0.4198
7367896,2017-04-09 21:25,2017-04-10 07:25,27.43,32412,-0.4974
7367895,2017-04-09 21:10,2017-04-10 07:10,27.43,32442,-0.7091
7367894,2017-04-09 20:55,2017-04-10 06:55,27.43,32442,-1.0109
7364686,2017-04-09 20:40,2017-04-10 06:40,27.56,32444,-1.5194
7367893,2017-04-09 20:40,2017-04-10 06:40,27.56,32444,-2.0433
7364685,2017-04-09 20:25,2017-04-10 06:25,27.56,32446,-2.8162
7364684,2017-04-09 20:10,2017-04-10 06:10,27.56,32448,-2.9121
7364683,2017-04-09 19:55,2017-04-10 05:55,27.56,32448,-3.0621
7364368,2017-04-09 19:40,2017-04-10 05:40,27.68,32448,3.0819
7364682,2017-04-09 19:40,2017-04-10 05:40,27.68,32448,3.0277
7364367,2017-04-09 19:25,2017-04-10 05:25,27.68,32448,2.7813
7364366,2017-04-09 19:10,2017-04-10 05:10,27.68,32448,2.6719
7364365,2017-04-09 18:54,2017-04-10 04:54,27.68,32448,2.8643
7364050,2017-04-09 18:39,2017-04-10 04:39,27.81,32448,2.7955
7364364,2017-04-09 18:39,2017-04-10 04:39,27.81,32448,3.1313
7364049,2017-04-09 18:24,2017-04-10 04:24,27.81,32448,-3.053
7364048,2017-04-09 18:09,2017-04-10 04:09,27.93,32448,-2.8102
7364047,2017-04-09 17:54,2017-04-10 03:54,27.93,32448,-2.6684
7363732,2017-04-09 17:39,2017-04-10 03:39,27.93,32448,-2.7505
